Name,Stock Count,Market Cap,atag,link
Building Products - Retail & Wholesale,5,$0.514T,/stocks/industry/25/building-products---retail-wholesale,https://www.macrotrends.net//stocks/industry/25/building-products---retail-wholesale
Finance - Investment Banks,12,$0.511T,/stocks/industry/62/finance---investment-banks,https://www.macrotrends.net//stocks/industry/62/finance---investment-banks
Diversified Operations,13,$0.484T,/stocks/industry/48/diversified-operations,https://www.macrotrends.net//stocks/industry/48/diversified-operations
Auto Manufacturers - Foreign,8,$0.476T,/stocks/industry/8/auto-manufacturers---foreign,https://www.macrotrends.net//stocks/industry/8/auto-manufacturers---foreign
Alcoholic Beverages,11,$0.450T,/stocks/industry/19/alcoholic-beverages,https://www.macrotrends.net//stocks/industry/19/alcoholic-beverages
Information Technology Services,17,$0.449T,/stocks/industry/218/information-technology-services,https://www.macrotrends.net//stocks/industry/218/information-technology-services
Medical Instruments Manufacturing,14,$0.449T,/stocks/industry/103/medical-instruments-manufacturing,https://www.macrotrends.net//stocks/industry/103/medical-instruments-manufacturing
Aerospace and Defense General,13,$0.433T,/stocks/industry/2/aerospace-and-defense-general,https://www.macrotrends.net//stocks/industry/2/aerospace-and-defense-general
Finance - Miscellaneous Services,26,$0.433T,/stocks/industry/69/finance---miscellaneous-services,https://www.macrotrends.net//stocks/industry/69/finance---miscellaneous-services
Retail - Supermarket Chains,4,$0.432T,/stocks/industry/167/retail---supermarket-chains,https://www.macrotrends.net//stocks/industry/167/retail---supermarket-chains
Wireless - National Providers,4,$0.422T,/stocks/industry/238/wireless---national-providers,https://www.macrotrends.net//stocks/industry/238/wireless---national-providers
Retail - Food & Restaurants,15,$0.369T,/stocks/industry/160/retail---food-restaurants,https://www.macrotrends.net//stocks/industry/160/retail---food-restaurants
Beverages - Soft Drinks,5,$0.365T,/stocks/industry/20/beverages---soft-drinks,https://www.macrotrends.net//stocks/industry/20/beverages---soft-drinks
Multi-Line Insurance Providers,24,$0.363T,/stocks/industry/88/multi-line-insurance-providers,https://www.macrotrends.net//stocks/industry/88/multi-line-insurance-providers
